bookings,cancellations,cancellation_rate,potential_revenue,stay_revenue,realized_revenue,lost_revenue,cancellation_fee_revenue,room_nights_realized,room_nights_booked,adr,year_month,property_id,property_name,property_type,available_room_nights,occupancy_rate,revpar,net_revpar
2371,930,0.3922,546769.16,319088.6,376459.35,170309.81,57370.75,3889,6768,96.8,2016-02,P002,StayWise City Lisbon,City,13311,0.2922,28.28,23.87
1778,369,0.2075,376418.42,256759.57,296764.97,79653.45,40005.4,4432,6258,66.96,2016-03,P001,StayWise Resort Algarve,Resort,8680,0.5106,34.19,29.57
3046,1108,0.3638,850509.23,510577.85,600477.33,250031.9,89899.48,5885,9374,102.04,2016-03,P002,StayWise City Lisbon,City,13950,0.4219,43.04,36.13
1867,522,0.2796,482966.68,317536.26,380486.25,102480.43,62949.99,4753,7102,80.05,2016-04,P001,StayWise Resort Algarve,Resort,8400,0.5658,45.3,39.37
3561,1539,0.4322,1040017.45,579055.12,711340.59,328676.86,132285.47,5805,10284,122.54,2016-04,P002,StayWise City Lisbon,City,13500,0.43,52.69,43.93
1802,479,0.2658,519567.9,380692.27,384665.6,134902.3,3973.33,5404,7275,71.18,2016-05,P001,StayWise Resort Algarve,Resort,8680,0.6226,44.32,37.82
3676,1436,0.3906,1136171.76,692585.36,823427.56,312744.2,130842.2,6304,10363,130.62,2016-05,P002,StayWise City Lisbon,City,13950,0.4519,59.03,49.6
1369,376,0.2747,720613.8,510518.43,530674.52,189939.28,20156.09,5569,7524,95.29,2016-06,P001,StayWise Resort Algarve,Resort,8220,0.6775,64.56,54.77
3923,1720,0.4384,1177870.99,634281.95,864325.44,313545.55,230043.49,5868,10603,147.29,2016-06,P002,StayWise City Lisbon,City,13230,0.4435,65.33,54.79
1441,456,0.3164,1179067.98,780924.53,780924.53,398143.45,0.0,5353,7905,145.89,2016-07,P001,StayWise Resort Algarve,Resort,8494,0.6302,91.94,78.91
3131,1043,0.3331,1128825.06,744094.52,799575.72,329249.34,55481.2,6642,10192,120.38,2016-07,P002,StayWise City Lisbon,City,13671,0.4858,58.49,49.14
1685,578,0.343,1598727.45,1001850.12,1005114.12,593613.33,3264.0,5687,8790,176.74,2016-08,P001,StayWise Resort Algarve,Resort,8494,0.6695,118.33,101.85
3378,1247,0.3692,1298808.11,807474.63,834395.32,464412.79,26920.69,6831,11024,122.15,2016-08,P002,StayWise City Lisbon,City,13671,0.4997,61.03,51.46
1523,455,0.2988,750103.34,518866.35,548315.79,201787.55,29449.44,5437,7609,100.85,2016-09,P001,StayWise Resort Algarve,Resort,8400,0.6473,65.28,55.91
3871,1567,0.4048,1315658.45,770776.34,903775.9,411882.55,132999.56,6487,11058,139.32,2016-09,P002,StayWise City Lisbon,City,13500,0.4805,66.95,56.01
1984,567,0.2858,522836.79,352458.36,363660.76,159176.03,11202.4,5310,7729,68.49,2016-10,P001,StayWise Resort Algarve,Resort,8680,0.6118,41.9,37.16
4219,1947,0.4615,1316506.63,719643.48,857625.68,458880.95,137982.2,6534,12056,131.26,2016-10,P002,StayWise City Lisbon,City,13950,0.4684,61.48,51.48
1332,276,0.2072,237227.73,192628.72,196484.32,40743.41,3855.6,3729,4681,52.69,2016-11,P001,StayWise Resort Algarve,Resort,8400,0.4439,23.39,19.88
3122,1360,0.4356,899939.43,496214.75,629888.92,270050.51,133674.17,5173,9378,121.76,2016-11,P002,StayWise City Lisbon,City,13500,0.3832,46.66,39.41
1382,326,0.2359,338251.86,244767.39,250275.39,87976.47,5508.0,3367,4662,74.33,2016-12,P001,StayWise Resort Algarve,Resort,8680,0.3879,28.83,24.93
2478,1072,0.4326,788592.0,413103.33,444567.33,344024.67,31464.0,4288,8358,103.68,2016-12,P002,StayWise City Lisbon,City,13950,0.3074,31.87,26.8
1309,206,0.1574,203635.98,159454.55,159512.35,44123.63,57.8,3106,3985,51.36,2017-01,P001,StayWise Resort Algarve,Resort,8866,0.3503,17.99,15.71
2372,1044,0.4401,665746.6,352700.91,401196.81,264549.79,48495.9,4017,7498,99.87,2017-01,P002,StayWise City Lisbon,City,14229,0.2823,28.2,23.77
1583,388,0.2451,287336.92,213572.62,217698.52,69638.4,4125.9,3829,5197,56.86,2017-02,P001,StayWise Resort Algarve,Resort,8008,0.4781,27.19,23.43
2594,971,0.3743,743410.49,449798.14,488398.34,255012.15,38600.2,4937,8096,98.93,2017-02,P002,StayWise City Lisbon,City,12852,0.3841,38.0,31.91
1558,394,0.2529,435991.24,298800.66,308504.21,127487.03,9703.55,5138,7541,60.04,2017-03,P001,StayWise Resort Algarve,Resort,8680,0.5919,35.54,30.74
3412,1278,0.3746,976366.0,586024.31,669141.56,307224.44,83117.25,6420,10382,104.23,2017-03,P002,StayWise City Lisbon,City,13950,0.4602,47.97,40.24
1742,537,0.3083,650157.21,412423.65,428192.49,221964.72,15768.84,4908,7466,87.24,2017-04,P001,StayWise Resort Algarve,Resort,8400,0.5843,50.98,43.48
3919,1926,0.4915,1537324.8,790842.45,978072.51,559252.29,187230.06,6359,12521,153.81,2017-04,P002,StayWise City Lisbon,City,13500,0.471,72.45,61.13
1757,545,0.3102,696435.78,444897.6,469681.7,226754.08,24784.1,5362,8031,87.59,2017-05,P001,StayWise Resort Algarve,Resort,8680,0.6177,54.11,46.08
4556,2217,0.4866,1755950.46,877038.41,1133589.37,622361.09,256550.96,6623,13044,171.16,2017-05,P002,StayWise City Lisbon,City,13950,0.4748,81.26,68.42
1676,631,0.3765,1008009.05,604903.82,619659.52,388349.53,14755.7,5328,8841,116.3,2017-06,P001,StayWise Resort Algarve,Resort,8220,0.6482,75.38,64.45
3971,1808,0.4553,1592893.44,833586.72,1088705.36,504188.08,255118.64,6421,12190,169.55,2017-06,P002,StayWise City Lisbon,City,13230,0.4853,82.29,69.05
1754,660,0.3763,1676936.69,954500.86,954608.86,722327.83,108.0,5607,9452,170.25,2017-07,P001,StayWise Resort Algarve,Resort,8494,0.6601,112.39,96.83
3559,1324,0.372,1456022.38,862537.37,907003.82,549018.56,44466.45,6874,11458,131.95,2017-07,P002,StayWise City Lisbon,City,13671,0.5028,66.35,56.02
1800,693,0.385,1878159.92,1084751.27,1090402.37,787757.55,5651.1,5568,9261,195.83,2017-08,P001,StayWise Resort Algarve,Resort,8494,0.6555,128.37,110.43
3125,1123,0.3594,1470466.61,885430.33,893010.09,577456.52,7579.76,6575,10631,135.82,2017-08,P002,StayWise City Lisbon,City,13671,0.4809,65.32,55.19
