booking_id,property_id,market_segment,distribution_channel,lead_time_band,deposit_type,actual_is_canceled,predicted_cancellation_risk,risk_band,lost_revenue
SW000943,P001,Direct,Direct,31-90 days,No Deposit,0,0.1294,Low risk,0.0
SW001008,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1586,Low risk,0.0
SW001014,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,738.0
SW001026,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.2806,Medium risk,1298.99
SW001045,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.2806,Medium risk,811.5
SW001057,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW001062,P001,Groups,Corporate,31-90 days,No Deposit,0,0.2363,Low risk,0.0
SW001072,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.3947,Medium risk,0.0
SW001111,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW001199,P001,Corporate,Corporate,0-7 days,No Deposit,1,0.1284,Low risk,172.55
SW001215,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW001218,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.4241,Medium risk,0.0
SW001221,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.4241,Medium risk,0.0
SW001232,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.4133,Medium risk,317.0
SW001239,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,1,0.3842,Medium risk,931.0
SW001257,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW001258,P001,Direct,Direct,31-90 days,No Deposit,0,0.1294,Low risk,0.0
SW001268,P001,Direct,Direct,8-30 days,No Deposit,1,0.1677,Low risk,172.0
SW001331,P001,Direct,Direct,91-180 days,No Deposit,1,0.1438,Low risk,1158.0
SW001383,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,56.0
SW001488,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.3947,Medium risk,0.0
SW001499,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.3507,Medium risk,226.0
SW001505,P001,Offline TA/TO,TA/TO,8-30 days,No Deposit,0,0.3018,Medium risk,0.0
SW001554,P001,Direct,Direct,31-90 days,No Deposit,1,0.1956,Low risk,1530.0
SW001582,P001,Offline TA/TO,TA/TO,8-30 days,No Deposit,1,0.3407,Medium risk,143.5
SW001608,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW001611,P001,Direct,Direct,31-90 days,No Deposit,0,0.1294,Low risk,0.0
SW001618,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,490.0
SW001659,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW001661,P001,Direct,TA/TO,181+ days,No Deposit,1,0.3576,Medium risk,253.41
SW001793,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW001808,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1586,Low risk,0.0
SW001825,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.2396,Low risk,0.0
SW001847,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,415.0
SW001855,P001,Direct,Direct,31-90 days,No Deposit,0,0.1956,Low risk,0.0
SW001935,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.2806,Medium risk,592.97
SW001948,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW002010,P001,Corporate,Corporate,8-30 days,No Deposit,0,0.1583,Low risk,0.0
SW002012,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.2806,Medium risk,235.8
SW002051,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3842,Medium risk,0.0
SW002053,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW002062,P001,Direct,Direct,31-90 days,No Deposit,0,0.1956,Low risk,0.0
SW002069,P001,Offline TA/TO,TA/TO,0-7 days,No Deposit,0,0.1834,Low risk,0.0
SW002126,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3842,Medium risk,0.0
SW002129,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW002135,P001,Groups,TA/TO,31-90 days,Non Refund,1,0.9184,High risk,5.41
SW002155,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2482,Low risk,0.0
SW002181,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3429,Medium risk,0.0
SW002188,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,80.1
SW002193,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,80.1
SW002247,P001,Direct,Direct,8-30 days,No Deposit,0,0.1097,Low risk,0.0
SW002261,P001,Corporate,Corporate,31-90 days,No Deposit,0,0.185,Low risk,0.0
SW002390,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,50.4
SW002457,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2482,Low risk,163.0
SW002483,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2482,Low risk,0.0
SW002491,P001,Groups,Direct,31-90 days,No Deposit,0,0.3092,Medium risk,0.0
SW002541,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW002553,P001,Direct,Direct,91-180 days,No Deposit,0,0.2155,Low risk,0.0
SW002561,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.194,Low risk,0.0
SW002666,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2482,Low risk,0.0
SW002672,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,130.0
SW002720,P001,Direct,Direct,0-7 days,No Deposit,0,0.1052,Low risk,0.0
SW002734,P001,Online TA,TA/TO,0-7 days,No Deposit,0,0.1615,Low risk,0.0
SW002758,P001,Offline TA/TO,TA/TO,8-30 days,No Deposit,0,0.1905,Low risk,0.0
SW002800,P001,Groups,Direct,0-7 days,No Deposit,1,0.225,Low risk,36.0
SW002854,P001,Corporate,Corporate,31-90 days,No Deposit,1,0.185,Low risk,640.0
SW002876,P001,Offline TA/TO,TA/TO,0-7 days,No Deposit,0,0.1556,Low risk,0.0
SW002961,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2442,Low risk,158.0
SW002980,P001,Direct,Direct,0-7 days,No Deposit,0,0.0553,Low risk,0.0
SW003038,P001,Corporate,Corporate,31-90 days,No Deposit,0,0.185,Low risk,0.0
SW003102,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.3507,Medium risk,0.0
SW003134,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW003202,P001,Corporate,Corporate,31-90 days,No Deposit,0,0.185,Low risk,0.0
SW003220,P001,Corporate,Corporate,31-90 days,No Deposit,0,0.185,Low risk,0.0
SW003249,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.285,Medium risk,0.0
SW003279,P001,Online TA,TA/TO,8-30 days,No Deposit,0,0.2442,Low risk,0.0
SW003281,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW003366,P001,Groups,TA/TO,31-90 days,No Deposit,0,0.4243,Medium risk,0.0
SW003380,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,30.6
SW003391,P001,Groups,TA/TO,31-90 days,No Deposit,1,0.4243,Medium risk,210.0
SW003397,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,30.6
SW003442,P001,Online TA,TA/TO,31-90 days,No Deposit,0,0.2806,Medium risk,0.0
SW003443,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.3842,Medium risk,0.0
SW003446,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.3507,Medium risk,311.43
SW003479,P001,Groups,Direct,91-180 days,Non Refund,1,0.8853,High risk,12.0
SW003493,P001,Groups,Direct,91-180 days,Non Refund,1,0.8853,High risk,12.0
SW003496,P001,Groups,Direct,91-180 days,Non Refund,1,0.8853,High risk,12.0
SW003516,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,1,0.3071,Medium risk,378.0
SW003528,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,0,0.2761,Medium risk,0.0
SW003535,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.2429,Low risk,0.0
SW003553,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.2429,Low risk,0.0
SW003618,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.4754,High risk,559.02
SW003695,P001,Groups,TA/TO,91-180 days,No Deposit,0,0.4543,High risk,0.0
SW003719,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,296.2
SW003762,P001,Groups,Direct,91-180 days,Non Refund,1,0.8853,High risk,10.8
SW003784,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,87.48
SW003795,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.3507,Medium risk,96.0
SW003805,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.4754,High risk,1411.2
SW003827,P001,Direct,Direct,0-7 days,No Deposit,1,0.0805,Low risk,44.0
SW003848,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW003884,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2482,Low risk,348.0
SW003906,P001,Groups,Direct,31-90 days,No Deposit,1,0.3092,Medium risk,219.99
SW003970,P001,Groups,TA/TO,31-90 days,Non Refund,1,0.9184,High risk,17.4
SW004019,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,21.0
SW004045,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,15.0
SW004068,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,21.0
SW004082,P001,Groups,TA/TO,91-180 days,No Deposit,0,0.4543,High risk,0.0
SW004083,P001,Groups,TA/TO,91-180 days,No Deposit,1,0.4543,High risk,136.0
SW004118,P001,Online TA,TA/TO,91-180 days,No Deposit,0,0.3104,Medium risk,0.0
SW004139,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW004153,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,0,0.4133,Medium risk,0.0
SW004160,P001,Direct,Direct,91-180 days,No Deposit,0,0.1438,Low risk,0.0
SW004166,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.3507,Medium risk,906.0
SW004208,P001,Groups,TA/TO,31-90 days,Non Refund,1,0.9184,High risk,31.5
SW004223,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,432.0
SW004225,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,432.0
SW004245,P001,Groups,Direct,91-180 days,No Deposit,0,0.3357,Medium risk,0.0
SW004279,P001,Groups,Direct,31-90 days,No Deposit,1,0.3092,Medium risk,405.0
SW004286,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,336.0
SW004289,P001,Corporate,Direct,0-7 days,No Deposit,1,0.1152,Low risk,40.0
SW004313,P001,Online TA,TA/TO,0-7 days,No Deposit,1,0.1615,Low risk,129.0
SW004374,P001,Groups,TA/TO,31-90 days,No Deposit,1,0.4243,Medium risk,177.0
SW004401,P001,Offline TA/TO,TA/TO,31-90 days,Non Refund,1,0.841,High risk,7.5
SW004434,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2482,Low risk,94.35
SW004562,P001,Offline TA/TO,TA/TO,0-7 days,No Deposit,1,0.1834,Low risk,252.0
SW004636,P001,Groups,Direct,91-180 days,Non Refund,1,0.8853,High risk,50.4
SW004706,P001,Direct,Direct,0-7 days,No Deposit,1,0.1052,Low risk,621.88
SW004723,P001,Groups,Direct,91-180 days,No Deposit,0,0.3357,Medium risk,0.0
SW004764,P001,Groups,Direct,91-180 days,Refundable,0,0.3175,Medium risk,0.0
SW004800,P001,Groups,Direct,91-180 days,Refundable,0,0.3175,Medium risk,0.0
SW004810,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,617.04
SW004819,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.2806,Medium risk,178.0
SW004848,P001,Groups,TA/TO,91-180 days,Non Refund,0,0.9045,High risk,0.0
SW004853,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9045,High risk,25.5
SW004878,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,365.4
SW004889,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,232.0
SW004911,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3564,Medium risk,0.0
SW004930,P001,Groups,Direct,91-180 days,Non Refund,1,0.8853,High risk,75.6
SW004948,P001,Groups,Direct,181+ days,No Deposit,0,0.3835,Medium risk,0.0
SW005015,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,25.8
SW005021,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,25.8
SW005076,P001,Groups,TA/TO,181+ days,Non Refund,1,0.921,High risk,25.5
SW005101,P001,Groups,Direct,181+ days,Non Refund,1,0.9048,High risk,68.65
SW005131,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW005168,P001,Groups,Direct,31-90 days,No Deposit,1,0.3092,Medium risk,485.52
SW005184,P001,Groups,Direct,31-90 days,No Deposit,1,0.3092,Medium risk,485.52
SW005210,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3925,Medium risk,0.0
SW005221,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3925,Medium risk,0.0
SW005225,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,204.0
SW005230,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3925,Medium risk,0.0
SW005274,P001,Offline TA/TO,TA/TO,31-90 days,No Deposit,1,0.2761,Medium risk,378.0
SW005277,P001,Groups,TA/TO,91-180 days,No Deposit,1,0.4543,High risk,658.0
SW005377,P001,Groups,Direct,8-30 days,No Deposit,1,0.2705,Medium risk,255.99
SW005384,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.3564,Medium risk,554.4
SW005400,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,48.0
SW005454,P001,Groups,TA/TO,91-180 days,No Deposit,1,0.4543,High risk,329.0
SW005483,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.3507,Medium risk,80.0
SW005493,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW005514,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,654.99
SW005545,P001,Groups,TA/TO,181+ days,No Deposit,1,0.506,High risk,170.0
SW005552,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW005578,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3564,Medium risk,0.0
SW005684,P001,Groups,TA/TO,181+ days,No Deposit,1,0.506,High risk,92.0
SW005696,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.4754,High risk,261.0
SW005707,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.3507,Medium risk,210.0
SW005721,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW005727,P001,Groups,TA/TO,181+ days,No Deposit,0,0.385,Medium risk,0.0
SW005742,P001,Groups,TA/TO,181+ days,No Deposit,1,0.506,High risk,192.0
SW005755,P001,Groups,TA/TO,181+ days,No Deposit,1,0.506,High risk,192.0
SW005773,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3058,Medium risk,352.0
SW005779,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,1,0.3464,Medium risk,324.8
SW005799,P001,Groups,TA/TO,181+ days,No Deposit,1,0.506,High risk,172.0
SW005807,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW005812,P001,Groups,TA/TO,181+ days,No Deposit,0,0.506,High risk,0.0
SW005818,P001,Groups,TA/TO,181+ days,No Deposit,0,0.385,Medium risk,0.0
SW005857,P001,Groups,TA/TO,8-30 days,No Deposit,1,0.3791,Medium risk,70.0
SW005931,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW005937,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3515,Medium risk,0.0
SW005939,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW005944,P001,Groups,TA/TO,91-180 days,Non Refund,1,0.9271,High risk,27.6
SW005953,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3026,Medium risk,0.0
SW005959,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW005966,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,406.0
SW005993,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.285,Medium risk,441.0
SW006007,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,86.0
SW006020,P001,Complementary,Corporate,91-180 days,No Deposit,1,0.2286,Low risk,0.0
SW006022,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,80.0
SW006027,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,309.0
SW006029,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.2471,Low risk,264.0
SW006058,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,1,0.4644,High risk,443.52
SW006103,P001,Groups,Direct,181+ days,No Deposit,0,0.2755,Medium risk,0.0
SW006146,P001,Groups,Direct,181+ days,No Deposit,0,0.3835,Medium risk,0.0
SW006176,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,116.0
SW006259,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,560.0
SW006266,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.3708,Medium risk,327.25
SW006346,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,665.0
SW006359,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,492.0
SW006378,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW006381,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,1305.0
SW006429,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,432.0
SW006523,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3464,Medium risk,0.0
SW006573,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.3564,Medium risk,850.5
SW006583,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3415,Medium risk,0.0
SW006591,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,504.0
SW006625,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.3564,Medium risk,324.0
SW006630,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.4133,Medium risk,383.04
SW006631,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,649.02
SW006633,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3515,Medium risk,0.0
SW006654,P001,Groups,Direct,181+ days,No Deposit,0,0.3835,Medium risk,0.0
SW006659,P001,Groups,Direct,181+ days,No Deposit,0,0.3835,Medium risk,0.0
SW006706,P001,Direct,Direct,91-180 days,No Deposit,1,0.2155,Low risk,1768.5
SW006732,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW006735,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,612.0
SW006744,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,1667.97
SW006756,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3415,Medium risk,0.0
SW006765,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.2648,Medium risk,907.9
SW006788,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,567.0
SW006827,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.301,Medium risk,404.6
SW006840,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3026,Medium risk,0.0
SW006864,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,332.0
SW006869,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.3507,Medium risk,636.0
SW006881,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.3464,Medium risk,0.0
SW006896,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.3515,Medium risk,1107.0
SW006904,P001,Online TA,TA/TO,181+ days,No Deposit,0,0.3515,Medium risk,0.0
SW006981,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.3515,Medium risk,346.5
SW007027,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,242.0
SW007039,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.4754,High risk,2400.0
SW007101,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,1200.0
SW007105,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,1400.0
SW007147,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.4754,High risk,1680.0
SW007153,P001,Direct,Direct,8-30 days,No Deposit,1,0.1305,Low risk,126.0
SW007181,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3058,Medium risk,1140.02
SW007213,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,1036.0
SW007264,P001,Direct,Direct,8-30 days,No Deposit,1,0.1076,Low risk,1774.99
SW007267,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,1,0.4644,High risk,1055.6
SW007293,P001,Offline TA/TO,TA/TO,91-180 days,No Deposit,1,0.239,Low risk,1242.5
SW007332,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,1477.0
SW007356,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,567.0
SW007363,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,1280.0
SW007399,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,1614.0
SW007456,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,820.0
SW007457,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,960.0
SW007493,P001,Direct,Direct,31-90 days,No Deposit,1,0.1956,Low risk,612.0
SW007519,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,382.0
SW007553,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,1323.0
SW007568,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,1036.0
SW007590,P001,Direct,Direct,181+ days,No Deposit,1,0.1712,Low risk,1408.75
SW007593,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,1,0.3925,Medium risk,869.4
SW007666,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4203,Medium risk,0.0
SW007686,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,1498.0
SW007699,P001,Online TA,TA/TO,8-30 days,No Deposit,1,0.2482,Low risk,826.0
SW007717,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,606.0
SW007755,P001,Direct,Direct,31-90 days,No Deposit,1,0.1956,Low risk,1950.0
SW007771,P001,Direct,Direct,181+ days,No Deposit,1,0.1712,Low risk,238.0
SW007781,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,844.0
SW007817,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.4241,Medium risk,480.0
SW007851,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,1,0.3071,Medium risk,1237.6
SW007853,P001,Online TA,TA/TO,0-7 days,No Deposit,1,0.2396,Low risk,171.0
SW007862,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.3564,Medium risk,1009.0
SW007895,P001,Online TA,TA/TO,91-180 days,No Deposit,1,0.3104,Medium risk,695.0
SW007898,P001,Online TA,TA/TO,181+ days,No Deposit,1,0.4754,High risk,891.0
SW007924,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,0,0.4644,High risk,0.0
SW007926,P001,Offline TA/TO,TA/TO,181+ days,No Deposit,1,0.4644,High risk,604.8
SW007937,P001,Online TA,TA/TO,31-90 days,No Deposit,1,0.3947,Medium risk,408.0
